quarter,ticker,revenue,cogs,gross_profit,operating_expenses,ebit,net_profit,gross_margin_pct,net_margin_pct
2022-Q1,ALPHACORP,357340482.23,200290554.58,157049927.65,71543376.1,85506551.55,64129913.66,43.95,17.95
2022-Q2,ALPHACORP,390688701.64,190969898.64,199718802.99,98140055.6,101578747.4,76184060.55,51.12,19.5
2022-Q3,ALPHACORP,426822416.01,247219650.39,179602765.62,115386051.87,64216713.75,48162535.31,42.08,11.28
2022-Q4,ALPHACORP,458395884.1,269735502.89,188660381.21,129914656.75,58745724.46,44059293.34,41.16,9.61
2023-Q1,ALPHACORP,453617009.02,241120359.96,212496649.06,96719530.88,115777118.18,86832838.64,46.84,19.14
2023-Q2,ALPHACORP,466267965.64,217131749.61,249136216.03,98663917.44,150472298.58,112854223.94,53.43,24.2
2023-Q3,ALPHACORP,485721424.35,282988957.32,202732467.03,100415863.43,102316603.6,76737452.7,41.74,15.8
2023-Q4,ALPHACORP,527510008.89,290201187.43,237308821.46,121562391.55,115746429.91,86809822.43,44.99,16.46
2022-Q1,BETAFIN,549559498.08,256371864.95,293187633.13,116629587.29,176558045.84,132418534.38,53.35,24.1
2022-Q2,BETAFIN,622722755.43,342993393.78,279729361.66,163749643.16,115979718.5,86984788.87,44.92,13.97
2022-Q3,BETAFIN,712776625.26,322173458.93,390603166.33,161044026.6,229559139.73,172169354.79,54.8,24.15
2022-Q4,BETAFIN,682498228.57,353202054.37,329296174.2,203584210.97,125711963.23,94283972.42,48.25,13.81
2023-Q1,BETAFIN,751588411.31,347592185.1,403996226.21,199886337.77,204109888.44,153082416.33,53.75,20.37
2023-Q2,BETAFIN,863941562.68,449636973.77,414304588.91,256865185.34,157439403.56,118079552.67,47.96,13.67
2023-Q3,BETAFIN,835786897.4,479517189.46,356269707.94,238082542.07,118187165.87,88640374.4,42.63,10.61
2023-Q4,BETAFIN,898700402.6,421678280.06,477022122.54,255533662.9,221488459.64,166116344.73,53.08,18.48
2022-Q1,GAMMAINV,280809015.93,165517337.62,115291678.31,64587772.35,50703905.96,38027929.47,41.06,13.54
2022-Q2,GAMMAINV,270751902.25,152225779.12,118526123.12,75257140.1,43268983.02,32451737.27,43.78,11.99
2022-Q3,GAMMAINV,285204350.46,162445851.38,122758499.08,69312660.32,53445838.76,40084379.07,43.04,14.05
2022-Q4,GAMMAINV,311232810.22,151561271.13,159671539.09,62495224.0,97176315.09,72882236.32,51.3,23.42
2023-Q1,GAMMAINV,316012857.77,147061797.29,168951060.49,68826537.46,100124523.02,75093392.27,53.46,23.76
2023-Q2,GAMMAINV,312270558.82,177857052.1,134413506.72,92374387.82,42039118.9,31529339.18,43.04,10.1
2023-Q3,GAMMAINV,300627034.15,173743513.48,126883520.67,67395772.05,59487748.62,44615811.47,42.21,14.84
2023-Q4,GAMMAINV,296150999.91,143027369.43,153123630.48,88724374.13,64399256.36,48299442.27,51.7,16.31
2022-Q1,DELTATECH,119794018.77,65318725.08,54475293.69,30067307.76,24407985.93,18305989.45,45.47,15.28
2022-Q2,DELTATECH,129848653.29,62205188.88,67643464.41,36716614.07,30926850.34,23195137.76,52.09,17.86
2022-Q3,DELTATECH,144892621.11,82514533.67,62378087.44,39139426.25,23238661.19,17428995.9,43.05,12.03
2022-Q4,DELTATECH,162908369.8,82934603.48,79973766.32,32899974.24,47073792.08,35305344.06,49.09,21.67
2023-Q1,DELTATECH,155838987.92,82995133.7,72843854.22,46741797.84,26102056.38,19576542.29,46.74,12.56
2023-Q2,DELTATECH,171094834.51,79248520.09,91846314.42,43138393.01,48707921.41,36530941.06,53.68,21.35
2023-Q3,DELTATECH,194222118.16,95632902.8,98589215.36,55842856.37,42746358.99,32059769.24,50.76,16.51
2023-Q4,DELTATECH,219588171.64,123726492.06,95861679.58,63412521.22,32449158.36,24336868.77,43.66,11.08
2022-Q1,EPSILONBK,115146477.68,61024622.98,54121854.7,32122836.87,21999017.83,16499263.37,47.0,14.33
2022-Q2,EPSILONBK,122894296.74,59560190.52,63334106.21,33353175.55,29980930.66,22485698.0,51.54,18.3
2022-Q3,EPSILONBK,127721520.14,74116556.01,53604964.14,35170529.41,18434434.72,13825826.04,41.97,10.82
2022-Q4,EPSILONBK,144014034.0,67945755.24,76068278.76,28960984.59,47107294.16,35330470.62,52.82,24.53
2023-Q1,EPSILONBK,146271496.86,74740506.3,71530990.56,33843466.8,37687523.76,28265642.82,48.9,19.32
2023-Q2,EPSILONBK,155810701.56,87208640.92,68602060.64,35700770.96,32901289.68,24675967.26,44.03,15.84
2023-Q3,EPSILONBK,160049707.11,92026771.2,68022935.92,40767277.35,27255658.56,20441743.92,42.5,12.77
2023-Q4,EPSILONBK,159024568.39,93905294.82,65119273.56,43309159.88,21810113.68,16357585.26,40.95,10.29
