date,ticker,sector,open,high,low,close,volume
2022-01-01,ALPHACORP,Finance,101.55,102.23,99.24,101.79,2693727
2022-01-02,ALPHACORP,Finance,99.83,102.05,100.09,101.61,1221481
2022-01-03,ALPHACORP,Finance,101.25,104.56,101.74,102.62,4828311
2022-01-04,ALPHACORP,Finance,104.74,106.65,103.7,105.0,640041
2022-01-05,ALPHACORP,Finance,104.47,105.71,103.86,104.66,3267355
2022-01-06,ALPHACORP,Finance,104.16,105.99,103.5,104.33,1944850
2022-01-07,ALPHACORP,Finance,105.29,106.83,105.75,106.83,2005736
2022-01-08,ALPHACORP,Finance,107.3,109.21,105.06,108.09,4985637
2022-01-09,ALPHACORP,Finance,105.63,107.41,106.88,107.36,2730580
2022-01-10,ALPHACORP,Finance,107.04,109.73,107.94,108.27,2802512
2022-01-11,ALPHACORP,Finance,106.89,109.25,106.82,107.55,2981736
2022-01-12,ALPHACORP,Finance,105.22,108.37,103.95,106.83,715841
2022-01-13,ALPHACORP,Finance,106.25,107.67,104.71,107.25,2039172
2022-01-14,ALPHACORP,Finance,103.45,104.9,102.23,104.2,4222821
2022-01-15,ALPHACORP,Finance,100.75,102.13,101.18,101.54,2651340
2022-01-16,ALPHACORP,Finance,99.16,102.5,98.7,100.71,3146630
2022-01-17,ALPHACORP,Finance,98.77,101.06,97.75,99.21,733594
2022-01-18,ALPHACORP,Finance,98.1,101.0,99.12,99.71,4622498
2022-01-19,ALPHACORP,Finance,98.27,99.17,96.62,98.38,2430502
2022-01-20,ALPHACORP,Finance,96.08,97.79,95.81,96.33,876564
2022-01-21,ALPHACORP,Finance,97.75,98.71,97.46,98.47,3312256
2022-01-22,ALPHACORP,Finance,96.52,98.35,95.42,98.17,2063014
2022-01-23,ALPHACORP,Finance,96.73,98.78,95.55,98.3,4572916
2022-01-24,ALPHACORP,Finance,95.07,98.07,94.23,96.23,4016904
2022-01-25,ALPHACORP,Finance,93.75,95.53,93.74,95.47,2417965
2022-01-26,ALPHACORP,Finance,94.1,96.62,94.1,95.66,986717
